id,GroupId,DropDesc,GroupType,GroupValue,DropType,DropId,DropCount,,,
2125,101,,2,14,9,1574,1,,,
2126,101,,2,14,9,2547,1,,,
2127,101,,2,14,9,1576,1,,,
2128,101,,2,14,9,2567,1,,,
2129,101,,2,14,9,502,1,,,
2130,101,,2,14,9,543,1,,,
2131,101,,2,14,9,1534,1,,,
2132,101,,2,14,9,563,1,,,
2133,101,,2,14,9,1536,1,,,
2134,101,,2,14,9,512,1,,,
2135,101,,2,14,9,2578,1,,,
2136,101,,2,14,9,1504,1,,,
2137,101,,2,14,9,1514,1,,,
2138,101,,2,14,9,561,1,,,
2139,101,,2,14,9,1516,1,,,
2140,101,,2,14,9,1595,1,,,
2141,101,,2,14,9,2559,1,,,
2142,101,,2,14,9,2579,1,,,
2143,101,,2,14,9,513,1,,,
2144,101,,2,14,9,1575,1,,,
2145,101,,2,14,9,2557,1,,,
2146,101,,2,14,9,551,1,,,
2147,101,,2,14,9,1515,1,,,
2148,101,,2,14,9,1586,1,,,
2149,101,,2,14,9,2568,1,,,
2150,101,,2,14,9,1584,1,,,
2151,101,,2,14,9,2548,1,,,
2152,101,,2,14,9,582,1,,,
2153,101,,2,14,9,2528,1,,,
2154,101,,2,14,9,2549,1,,,
2155,101,,2,14,9,581,1,,,
2156,101,,2,14,9,2518,1,,,
2157,101,,2,14,9,1506,1,,,
2158,101,,2,14,9,592,1,,,
2159,101,,2,14,9,1594,1,,,
2160,101,,2,14,9,2529,1,,,
2161,101,,2,14,9,572,1,,,
2162,101,,2,14,9,2527,1,,,
2163,101,,2,14,9,571,1,,,
2164,101,,2,14,9,2517,1,,,
2165,101,,2,14,9,541,1,,,
2166,101,,2,14,9,2507,1,,,
2167,101,,2,14,9,2509,1,,,
2168,101,,2,14,9,2519,1,,,
2169,101,,2,14,9,593,1,,,
2170,101,,2,14,9,2539,1,,,
2171,101,,2,14,9,583,1,,,
2172,101,,2,14,9,2538,1,,,
2173,101,,2,14,9,562,1,,,
2174,101,,2,14,9,1526,1,,,
2175,101,,2,14,9,1596,1,,,
2176,101,,2,14,9,2569,1,,,
2177,101,,2,14,9,2598,1,,,
2178,101,,2,14,9,532,1,,,
2179,101,,2,14,9,1546,1,,,
